Sample_ID,Temperature_C,Applied_Voltage,Droplet_Volume_pL,DVR,Impact_Velocity_m_s,Spread_Radius,VO2_State,Resistance_Ohm
SAMP-0082,37.18,8.36,3.275,2.7292,2.78,792.8605,CONDUCTIVE_METAL,3.66
SAMP-0083,59.83,1.31,2.96,2.4667,2.43,638.1048,INSULATOR,246666.67
SAMP-0084,80.35,6.49,0.952,0.7933,4.45,467.9804,CONDUCTIVE_METAL,12.61
SAMP-0085,28.46,5.54,2.987,2.4892,3.61,955.0264,CONDUCTIVE_METAL,4.02
SAMP-0086,35.95,7.57,0.999,0.8325,5.0,545.9906,CONDUCTIVE_METAL,12.01
SAMP-0087,50.48,5.1,3.678,3.065,3.51,1100.3578,CONDUCTIVE_METAL,3.26
SAMP-0088,62.58,4.16,1.947,1.6225,2.9,540.7841,INSULATOR,162250.0
SAMP-0089,29.34,2.28,0.595,0.4958,1.31,96.4412,INSULATOR,49583.33
SAMP-0090,46.51,5.67,3.669,3.0575,3.05,954.2467,CONDUCTIVE_METAL,3.27
SAMP-0091,72.08,6.26,3.818,3.1817,4.82,1557.6549,CONDUCTIVE_METAL,3.14
SAMP-0092,76.15,3.38,1.576,1.3133,4.4,691.0545,CONDUCTIVE_METAL,7.61
SAMP-0093,77.56,1.87,3.935,3.2792,2.33,771.6728,CONDUCTIVE_METAL,3.05
SAMP-0094,61.61,4.7,2.518,2.0983,3.12,717.8131,INSULATOR,209833.33
SAMP-0095,90.43,2.02,4.863,4.0525,4.99,1961.5877,CONDUCTIVE_METAL,2.47
SAMP-0096,25.75,8.21,1.15,0.9583,1.97,240.3526,CONDUCTIVE_METAL,10.43
SAMP-0097,53.85,6.59,4.036,3.3633,2.06,696.4365,CONDUCTIVE_METAL,2.97
SAMP-0098,46.57,0.37,3.422,2.8517,1.55,458.1804,INSULATOR,285166.67
SAMP-0099,86.35,8.75,2.165,1.8042,4.2,854.0515,CONDUCTIVE_METAL,5.54
SAMP-0100,45.38,5.77,0.665,0.5542,3.1,247.8514,CONDUCTIVE_METAL,18.05
SAMP-0101,57.33,6.45,2.453,2.0442,2.48,558.4956,CONDUCTIVE_METAL,4.89
SAMP-0102,96.5,1.77,3.578,2.9817,1.3,398.4958,CONDUCTIVE_METAL,3.35
SAMP-0103,64.13,2.12,4.684,3.9033,1.33,507.2462,INSULATOR,390333.33
SAMP-0104,77.7,2.07,2.626,2.1883,3.32,790.5174,CONDUCTIVE_METAL,4.57
SAMP-0105,27.33,2.58,2.84,2.3667,1.84,467.103,INSULATOR,236666.67
SAMP-0106,36.38,0.69,2.376,1.98,2.45,537.5368,INSULATOR,198000.0
SAMP-0107,36.43,4.1,1.285,1.0708,3.14,418.4907,INSULATOR,107083.33
SAMP-0108,22.23,0.72,1.308,1.09,1.14,154.1071,INSULATOR,109000.0
SAMP-0109,43.77,9.24,0.626,0.5217,4.05,309.5597,CONDUCTIVE_METAL,19.17
SAMP-0110,29.32,9.73,3.413,2.8442,4.2,1238.8583,CONDUCTIVE_METAL,3.52
SAMP-0111,72.71,8.16,4.67,3.8917,2.52,958.7779,CONDUCTIVE_METAL,2.57
SAMP-0112,60.11,9.8,1.453,1.2108,3.24,476.5634,CONDUCTIVE_METAL,8.26
SAMP-0113,84.23,1.22,0.928,0.7733,1.72,177.3233,CONDUCTIVE_METAL,12.93
SAMP-0114,73.5,7.43,4.27,3.5583,4.8,1698.6508,CONDUCTIVE_METAL,2.81
SAMP-0115,86.04,9.94,1.549,1.2908,1.6,247.8064,CONDUCTIVE_METAL,7.75
SAMP-0116,88.57,1.32,3.803,3.1692,2.09,673.2564,CONDUCTIVE_METAL,3.16
SAMP-0117,85.49,3.98,1.803,1.5025,1.84,322.3121,CONDUCTIVE_METAL,6.66
SAMP-0118,74.14,9.54,4.118,3.4317,3.23,1109.953,CONDUCTIVE_METAL,2.91
SAMP-0119,56.99,5.28,3.791,3.1592,3.71,1192.0433,CONDUCTIVE_METAL,3.17
SAMP-0120,70.67,5.62,1.451,1.2092,1.02,149.8629,CONDUCTIVE_METAL,8.27
SAMP-0121,66.08,3.52,4.446,3.705,4.02,1469.9074,INSULATOR,370500.0
SAMP-0122,84.02,3.28,3.936,3.28,3.46,1146.1541,CONDUCTIVE_METAL,3.05
SAMP-0123,42.33,8.87,3.799,3.1658,3.21,1033.1601,CONDUCTIVE_METAL,3.16
SAMP-0124,91.65,1.4,1.123,0.9358,2.28,272.9899,CONDUCTIVE_METAL,10.69
SAMP-0125,76.39,9.68,2.688,2.24,3.94,956.2197,CONDUCTIVE_METAL,4.46
SAMP-0126,39.11,1.39,1.457,1.2142,1.42,209.3272,INSULATOR,121416.67
SAMP-0127,40.71,5.78,1.821,1.5175,3.78,667.5124,CONDUCTIVE_METAL,6.59
SAMP-0128,68.87,9.28,3.673,3.0608,2.09,654.4738,CONDUCTIVE_METAL,3.27
SAMP-0129,42.19,5.15,4.007,3.3392,3.72,1250.3022,CONDUCTIVE_METAL,2.99
SAMP-0130,67.84,8.9,3.136,2.6133,4.63,1274.5537,CONDUCTIVE_METAL,3.83
SAMP-0131,26.03,2.87,4.854,4.045,1.91,749.7077,INSULATOR,404500.0
SAMP-0132,67.34,4.64,3.236,2.6967,2.48,700.4189,INSULATOR,269666.67
SAMP-0133,56.22,8.36,2.529,2.1075,4.01,925.8687,CONDUCTIVE_METAL,4.74
SAMP-0134,76.58,9.18,4.308,3.59,2.85,1015.8382,CONDUCTIVE_METAL,2.79
SAMP-0135,50.62,9.8,2.383,1.9858,4.96,1090.8584,CONDUCTIVE_METAL,5.04
SAMP-0136,55.96,5.85,2.913,2.4275,3.14,813.8312,CONDUCTIVE_METAL,4.12
SAMP-0137,83.75,3.03,2.239,1.8658,3.86,806.7642,CONDUCTIVE_METAL,5.36
SAMP-0138,45.28,7.9,4.525,3.7708,2.25,834.5116,CONDUCTIVE_METAL,2.65
SAMP-0139,80.65,8.09,4.384,3.6533,3.36,1214.6973,CONDUCTIVE_METAL,2.74
SAMP-0140,98.26,5.31,4.218,3.515,3.96,1387.5419,CONDUCTIVE_METAL,2.84
SAMP-0141,40.33,7.24,0.759,0.6325,2.05,181.0785,CONDUCTIVE_METAL,15.81
SAMP-0142,66.43,7.35,4.386,3.655,1.37,495.4612,CONDUCTIVE_METAL,2.74
SAMP-0143,73.7,9.24,4.475,3.7292,2.69,988.7811,CONDUCTIVE_METAL,2.68
SAMP-0144,77.05,3.22,4.84,4.0333,1.67,653.9789,CONDUCTIVE_METAL,2.48
SAMP-0145,32.47,0.6,3.072,2.56,4.62,1250.5635,INSULATOR,256000.0
SAMP-0146,38.96,1.9,4.965,4.1375,3.12,1247.1712,INSULATOR,413750.0
SAMP-0147,86.04,8.02,4.034,3.3617,3.16,1067.8904,CONDUCTIVE_METAL,2.97
SAMP-0148,26.3,8.59,4.769,3.9742,2.12,820.3641,CONDUCTIVE_METAL,2.52
SAMP-0149,34.67,6.37,2.488,2.0733,1.68,382.7446,CONDUCTIVE_METAL,4.82
SAMP-0150,26.83,8.3,3.614,3.0117,3.95,1220.7255,CONDUCTIVE_METAL,3.32
SAMP-0151,52.44,7.37,3.693,3.0775,4.81,1512.9004,CONDUCTIVE_METAL,3.25
SAMP-0152,48.49,2.8,1.27,1.0583,1.93,254.8234,INSULATOR,105833.33
SAMP-0153,60.56,6.1,4.57,3.8083,1.1,411.2598,CONDUCTIVE_METAL,2.63
SAMP-0154,72.3,5.78,3.36,2.8,4.77,1389.1471,CONDUCTIVE_METAL,3.57
SAMP-0155,37.49,8.72,0.968,0.8067,2.32,247.1729,CONDUCTIVE_METAL,12.4
SAMP-0156,71.7,5.06,4.957,4.1308,2.24,894.2427,CONDUCTIVE_METAL,2.42
SAMP-0157,41.49,5.73,4.337,3.6142,4.14,1483.6776,CONDUCTIVE_METAL,2.77
SAMP-0158,55.37,0.23,0.843,0.7025,2.11,201.9556,INSULATOR,70250.0
SAMP-0159,55.95,6.39,4.866,4.055,4.25,1671.5217,CONDUCTIVE_METAL,2.47
SAMP-0160,45.62,9.38,4.163,3.4692,1.85,641.3598,CONDUCTIVE_METAL,2.88
SAMP-0161,60.98,1.93,1.705,1.4208,4.27,714.7758,INSULATOR,142083.33
SAMP-0162,86.23,0.47,4.245,3.5375,3.54,1246.8089,CONDUCTIVE_METAL,2.83
SAMP-0163,46.05,0.3,1.183,0.9858,3.32,414.2582,INSULATOR,98583.33
SAMP-0164,87.18,2.85,2.046,1.705,3.22,625.2402,CONDUCTIVE_METAL,5.87
SAMP-0165,60.73,1.42,2.061,1.7175,1.28,250.0286,INSULATOR,171750.0
SAMP-0166,84.72,9.54,3.429,2.8575,3.65,1080.7398,CONDUCTIVE_METAL,3.5
SAMP-0167,51.47,1.16,1.856,1.5467,4.39,787.3347,INSULATOR,154666.67
SAMP-0168,79.29,9.91,4.325,3.6042,2.99,1069.1436,CONDUCTIVE_METAL,2.77
SAMP-0169,82.84,2.49,4.883,4.0692,1.44,567.9453,CONDUCTIVE_METAL,2.46
SAMP-0170,59.13,5.39,4.65,3.875,2.65,1004.7504,CONDUCTIVE_METAL,2.58
SAMP-0171,28.34,6.83,3.195,2.6625,2.92,816.1482,CONDUCTIVE_METAL,3.76
SAMP-0172,20.11,1.59,0.981,0.8175,1.1,118.4216,INSULATOR,81750.0
SAMP-0173,90.07,4.43,1.477,1.2308,2.61,388.9995,CONDUCTIVE_METAL,8.12
SAMP-0174,61.11,9.58,1.399,1.1658,4.43,632.0431,CONDUCTIVE_METAL,8.58
SAMP-0175,34.36,4.71,1.324,1.1033,3.92,535.0951,INSULATOR,110333.33
SAMP-0176,32.76,0.75,2.203,1.8358,2.54,523.8914,INSULATOR,183583.33
SAMP-0177,61.55,6.83,4.229,3.5242,3.13,1099.0362,CONDUCTIVE_METAL,2.84
SAMP-0178,34.44,9.41,2.888,2.4067,2.81,723.1882,CONDUCTIVE_METAL,4.16
SAMP-0179,82.12,5.81,0.822,0.685,2.01,188.6917,CONDUCTIVE_METAL,14.6
SAMP-0180,35.74,5.11,4.368,3.64,4.61,1661.6685,CONDUCTIVE_METAL,2.75
SAMP-0181,78.77,4.61,1.705,1.4208,1.28,214.2654,CONDUCTIVE_METAL,7.04
SAMP-0182,24.62,5.37,3.432,2.86,3.63,1075.5845,CONDUCTIVE_METAL,3.5
SAMP-0183,22.29,8.78,4.026,3.355,1.46,492.598,CONDUCTIVE_METAL,2.98
SAMP-0184,44.19,0.11,4.194,3.495,3.44,1199.7774,INSULATOR,349500.0
SAMP-0185,91.96,7.01,4.872,4.06,2.85,1122.0168,CONDUCTIVE_METAL,2.46
SAMP-0186,88.0,4.38,4.562,3.8017,1.94,724.2864,CONDUCTIVE_METAL,2.63
SAMP-0187,43.43,8.62,0.765,0.6375,1.91,169.7253,CONDUCTIVE_METAL,15.69
SAMP-0188,51.03,8.69,4.524,3.77,1.12,415.3271,CONDUCTIVE_METAL,2.65
SAMP-0189,85.91,3.83,3.823,3.1858,2.85,922.0005,CONDUCTIVE_METAL,3.14
SAMP-0190,52.34,7.98,3.711,3.0925,1.1,347.3571,CONDUCTIVE_METAL,3.23
SAMP-0191,33.51,1.89,2.049,1.7075,1.55,301.3297,INSULATOR,170750.0
SAMP-0192,41.33,5.25,4.135,3.4458,3.4,1172.2821,CONDUCTIVE_METAL,2.9
SAMP-0193,26.25,0.89,1.176,0.98,4.24,526.5647,INSULATOR,98000.0
SAMP-0194,81.09,2.92,3.132,2.61,3.47,954.2321,CONDUCTIVE_METAL,3.83
SAMP-0195,55.41,4.86,3.364,2.8033,4.07,1186.4397,INSULATOR,280333.33
SAMP-0196,51.2,3.15,2.054,1.7117,1.04,202.585,INSULATOR,171166.67
SAMP-0197,66.59,2.29,1.434,1.195,4.33,630.1752,INSULATOR,119500.0
SAMP-0198,41.54,2.74,1.292,1.0767,3.35,448.4221,INSULATOR,107666.67
SAMP-0199,97.1,6.93,4.594,3.8283,3.85,1445.5146,CONDUCTIVE_METAL,2.61
SAMP-0200,39.61,1.59,4.112,3.4267,4.72,1620.0574,INSULATOR,342666.67
SAMP-0201,32.27,1.16,4.024,3.3533,1.69,569.9691,INSULATOR,335333.33
SAMP-0202,61.06,0.66,1.456,1.2133,1.81,266.671,INSULATOR,121333.33
SAMP-0203,50.12,1.08,2.672,2.2267,3.08,743.8611,INSULATOR,222666.67
SAMP-0204,38.84,6.36,2.217,1.8475,4.54,941.2633,CONDUCTIVE_METAL,5.41
SAMP-0205,58.32,7.91,4.651,3.8758,2.84,1076.9761,CONDUCTIVE_METAL,2.58
SAMP-0206,76.63,0.25,2.096,1.7467,3.77,746.6035,CONDUCTIVE_METAL,5.73
SAMP-0207,50.38,6.1,1.527,1.2725,2.85,436.3339,CONDUCTIVE_METAL,7.86
SAMP-0208,63.65,9.64,4.966,4.1383,4.56,1823.0844,CONDUCTIVE_METAL,2.42
SAMP-0209,43.64,1.62,4.153,3.4608,3.43,1186.799,INSULATOR,346083.33
SAMP-0210,25.62,4.57,2.856,2.38,1.98,504.9573,INSULATOR,238000.0
SAMP-0211,81.38,3.16,3.701,3.0842,4.39,1383.2304,CONDUCTIVE_METAL,3.24
SAMP-0212,37.27,9.42,4.243,3.5358,2.43,855.5336,CONDUCTIVE_METAL,2.83
SAMP-0213,20.71,8.77,3.976,3.3133,4.19,1399.4178,CONDUCTIVE_METAL,3.02
SAMP-0214,48.53,2.05,3.21,2.675,3.51,984.813,INSULATOR,267500.0
SAMP-0215,20.71,4.41,1.159,0.9658,3.45,423.532,INSULATOR,96583.33
SAMP-0216,78.84,9.63,4.664,3.8867,4.69,1782.5408,CONDUCTIVE_METAL,2.57
SAMP-0217,91.81,0.12,4.68,3.9,2.44,929.9453,CONDUCTIVE_METAL,2.56
SAMP-0218,32.21,9.29,3.692,3.0767,3.17,996.8477,CONDUCTIVE_METAL,3.25
SAMP-0219,59.7,2.31,2.984,2.4867,1.12,296.0531,INSULATOR,248666.67
SAMP-0220,32.44,4.47,3.857,3.2142,4.75,1547.7676,INSULATOR,321416.67
SAMP-0221,76.15,6.78,2.449,2.0408,4.19,942.3289,CONDUCTIVE_METAL,4.9
SAMP-0222,34.68,9.43,0.846,0.705,3.06,293.6851,CONDUCTIVE_METAL,14.18
SAMP-0223,58.74,4.76,2.573,2.1442,3.52,824.2787,INSULATOR,214416.67
SAMP-0224,85.28,8.94,2.53,2.1083,2.05,473.4775,CONDUCTIVE_METAL,4.74
SAMP-0225,46.12,5.3,3.337,2.7808,3.48,1007.8039,CONDUCTIVE_METAL,3.6
SAMP-0226,89.0,9.25,2.953,2.4608,1.99,521.5531,CONDUCTIVE_METAL,4.06
SAMP-0227,57.44,4.31,4.02,3.35,3.77,1270.4435,INSULATOR,335000.0
SAMP-0228,85.62,6.79,1.04,0.8667,1.81,203.9838,CONDUCTIVE_METAL,11.54
SAMP-0229,36.72,2.77,4.918,4.0983,3.48,1380.4572,INSULATOR,409833.33
SAMP-0230,36.42,3.38,4.96,4.1333,4.9,1957.1095,INSULATOR,413333.33
SAMP-0231,47.21,5.23,4.361,3.6342,4.33,1558.7178,CONDUCTIVE_METAL,2.75
SAMP-0232,62.42,6.9,2.093,1.7442,1.19,235.3899,CONDUCTIVE_METAL,5.73
SAMP-0233,56.83,3.03,2.032,1.6933,2.9,559.9589,INSULATOR,169333.33
SAMP-0234,74.29,9.62,1.248,1.04,4.16,541.6495,CONDUCTIVE_METAL,9.62
SAMP-0235,61.18,1.39,2.447,2.0392,3.7,831.5724,INSULATOR,203916.67
SAMP-0236,89.29,4.14,4.866,4.055,2.54,998.98,CONDUCTIVE_METAL,2.47
SAMP-0237,46.88,3.09,2.216,1.8467,1.12,232.1204,INSULATOR,184666.67
SAMP-0238,57.82,6.36,1.345,1.1208,1.02,141.0007,CONDUCTIVE_METAL,8.92
SAMP-0239,87.25,0.53,3.563,2.9692,3.34,1020.3306,CONDUCTIVE_METAL,3.37
SAMP-0240,88.36,2.67,2.153,1.7942,4.86,983.7835,CONDUCTIVE_METAL,5.57
SAMP-0241,37.24,0.95,1.202,1.0017,2.63,332.3452,INSULATOR,100166.67
SAMP-0242,22.58,5.33,3.69,3.075,4.34,1364.1677,CONDUCTIVE_METAL,3.25
SAMP-0243,66.04,8.18,0.839,0.6992,3.32,316.6086,CONDUCTIVE_METAL,14.3
SAMP-0244,75.5,4.3,4.115,3.4292,4.16,1428.6922,CONDUCTIVE_METAL,2.92
SAMP-0245,88.26,8.5,1.274,1.0617,2.93,387.8292,CONDUCTIVE_METAL,9.42
SAMP-0246,82.01,8.67,4.882,4.0683,2.01,792.6261,CONDUCTIVE_METAL,2.46
SAMP-0247,61.33,0.42,1.291,1.0758,3.54,473.5618,INSULATOR,107583.33
SAMP-0248,22.68,4.31,3.018,2.515,2.94,784.3669,INSULATOR,251500.0
SAMP-0249,26.33,7.44,4.697,3.9142,4.15,1586.306,CONDUCTIVE_METAL,2.55
SAMP-0250,84.45,1.09,4.332,3.61,3.88,1389.2016,CONDUCTIVE_METAL,2.77
SAMP-0251,30.24,6.28,1.546,1.2883,1.64,253.604,CONDUCTIVE_METAL,7.76
SAMP-0252,81.46,8.1,2.826,2.355,1.72,434.8793,CONDUCTIVE_METAL,4.25
SAMP-0253,49.44,2.3,2.505,2.0875,4.84,1108.8267,INSULATOR,208750.0
SAMP-0254,59.3,7.43,1.928,1.6067,1.41,260.8402,CONDUCTIVE_METAL,6.22
SAMP-0255,23.92,5.42,3.301,2.7508,1.09,312.8819,CONDUCTIVE_METAL,3.64
SAMP-0256,53.24,4.78,0.653,0.5442,2.09,164.8435,INSULATOR,54416.67
SAMP-0257,76.8,9.89,3.642,3.035,3.95,1228.4199,CONDUCTIVE_METAL,3.29
SAMP-0258,96.25,9.0,3.111,2.5925,3.68,1006.4365,CONDUCTIVE_METAL,3.86
SAMP-0259,61.21,0.08,3.261,2.7175,2.7,767.3572,INSULATOR,271750.0
SAMP-0260,24.53,9.2,4.604,3.8367,1.49,560.4166,CONDUCTIVE_METAL,2.61
SAMP-0261,98.81,3.27,3.446,2.8717,3.51,1043.4851,CONDUCTIVE_METAL,3.48
SAMP-0262,38.39,0.3,2.382,1.985,2.2,483.6825,INSULATOR,198500.0
SAMP-0263,71.66,0.5,2.016,1.68,2.24,429.7398,CONDUCTIVE_METAL,5.95
SAMP-0264,29.0,6.89,2.656,2.2133,1.17,281.1861,CONDUCTIVE_METAL,4.52
SAMP-0265,83.99,2.66,2.463,2.0525,4.07,919.6178,CONDUCTIVE_METAL,4.87
SAMP-0266,46.8,6.87,0.963,0.8025,2.88,305.5979,CONDUCTIVE_METAL,12.46
SAMP-0267,78.74,4.85,3.599,2.9992,4.46,1373.6782,CONDUCTIVE_METAL,3.33
SAMP-0268,32.27,6.99,1.003,0.8358,2.6,284.8049,CONDUCTIVE_METAL,11.96
SAMP-0269,48.43,7.78,0.53,0.4417,4.59,310.5352,CONDUCTIVE_METAL,22.64
SAMP-0270,84.5,3.42,1.862,1.5517,3.33,598.7976,CONDUCTIVE_METAL,6.44
SAMP-0271,62.27,5.12,1.276,1.0633,3.89,515.5451,CONDUCTIVE_METAL,9.4
SAMP-0272,40.16,2.2,2.934,2.445,2.7,703.9117,INSULATOR,244500.0
SAMP-0273,23.84,1.99,1.314,1.095,2.36,320.1995,INSULATOR,109500.0
SAMP-0274,75.35,9.57,2.112,1.76,4.59,914.6555,CONDUCTIVE_METAL,5.68
